S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state,constituency,value
170,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29,Bihar,Hajipur - 21,S0421
171,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,440352,2683,443035,47.88,Bihar,Jahanabad - 36,S0436
172,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),508179,867,509046,51.98,Bihar,Jamui - 40,S0440
173,RAMPRIT MANDAL,Janata Dal  (United),532138,894,533032,48.73,Bihar,Jhanjharpur - 7,S047
174,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),378922,1659,380581,36.89,Bihar,Karakat - 35,S0435
175,TARIQ ANWAR,Indian National Congress,565025,2067,567092,48.41,Bihar,Katihar - 11,S0411
176,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73,Bihar,Khagaria - 25,S0425
177,MOHAMMAD JAWED,Indian National Congress,402470,380,402850,35,Bihar,Kishanganj - 10,S0410
178,DINESH CHANDRA YADAV,Janata Dal  (United),639758,891,640649,52.96,Bihar,Madhepura - 13,S0413
179,ASHOK KUMAR YADAV,Bharatiya Janata Party,552705,723,553428,53.85,Bihar,Madhubani - 6,S046
180,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,527974,1559,529533,52.22,Bihar,Maharajganj - 19,S0419
181,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),547814,2332,550146,48.3,Bihar,Munger - 28,S0428
182,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,618569,1180,619749,55.71,Bihar,Muzaffarpur - 15,S0415
183,KAUSHALENDRA KUMAR,Janata Dal  (United),557054,2368,559422,48.88,Bihar,Nalanda - 29,S0429
184,VIVEK THAKUR,Bharatiya Janata Party,408537,2071,410608,47.2,Bihar,Nawada - 39,S0439
185,DR.SANJAY JAISWAL,Bharatiya Janata Party,578959,1462,580421,53.43,Bihar,Paschim Champaran - 2,S042
186,MISHA BHARTI,Rashtriya Janata Dal,612147,1136,613283,49.86,Bihar,Patliputra - 31,S0431
187,RAVI SHANKAR PRASAD,Bharatiya Janata Party,587212,1058,588270,54.7,Bihar,Patna Sahib - 30,S0430
188,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,566867,689,567556,47.46,Bihar,Purnia - 12,S0412
189,RADHA MOHAN SINGH,Bharatiya Janata Party,540598,1595,542193,50.5,Bihar,Purvi Champaran - 3,S043
190,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579095,691,579786,52.97,Bihar,Samastipur - 23,S0423
191,RAJIV PRATAP RUDY,Bharatiya Janata Party,470234,1518,471752,46.18,Bihar,Saran - 20,S0420
192,MANOJ KUMAR,Indian National Congress,509977,3027,513004,46.76,Bihar,Sasaram - 34,S0434
193,LOVELY ANAND,Janata Dal  (United),475709,903,476612,45.15,Bihar,Sheohar - 4,S044
194,DEVESH CHANDRA THAKUR,Janata Dal  (United),514940,779,515719,47.14,Bihar,Sitamarhi - 5,S045
195,VIJAYLAKSHMI DEVI,Janata Dal  (United),385625,883,386508,38.73,Bihar,Siwan - 18,S0418
196,DILESHWAR KAMAIT,Janata Dal  (United),592922,2116,595038,48.33,Bihar,Supaul - 8,S048
197,NITYANAND RAI,Bharatiya Janata Party,515159,806,515965,49.51,Bihar,Ujiarpur - 22,S0422
198,VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38,Bihar,Vaishali - 16,S0416
199,SUNIL KUMAR,Janata Dal  (United),522495,927,523422,47.5,Bihar,Valmiki Nagar  - 1,S041
200,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91,Bihar,Araria - 9,S049
201,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),526564,2818,529382,48.28,Bihar,Arrah - 32,S0432
202,ABHAY KUMAR SINHA,Rashtriya Janata Dal,463845,1722,465567,49.22,Bihar,Aurangabad - 37,S0437
203,GIRIDHARI YADAV,Janata Dal  (United),505674,1004,506678,49.96,Bihar,Banka - 27,S0427
204,GIRIRAJ SINGH,Bharatiya Janata Party,646912,2419,649331,50.15,Bihar,Begusarai - 24,S0424
205,AJAY KUMAR MANDAL,Janata Dal  (United),534923,1108,536031,50.38,Bihar,Bhagalpur - 26,S0426
206,SUDHAKAR SINGH,Rashtriya Janata Dal,435062,3283,438345,40.82,Bihar,Buxar - 33,S0433
207,GOPAL JEE THAKUR,Bharatiya Janata Party,565706,924,566630,55.33,Bihar,Darbhanga - 14,S0414
208,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),492732,2228,494960,51.36,Bihar,Gaya - 38,S0438
209,DR. ALOK KUMAR SUMAN,Janata Dal  (United),510329,1537,511866,48.15,Bihar,Gopalganj - 17,S0417
210,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),613106,2612,615718,53.29,Bihar,Hajipur - 21,S0421
211,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,440352,2683,443035,47.88,Bihar,Jahanabad - 36,S0436
212,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),508179,867,509046,51.98,Bihar,Jamui - 40,S0440
213,RAMPRIT MANDAL,Janata Dal  (United),532138,894,533032,48.73,Bihar,Jhanjharpur - 7,S047
214,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),378922,1659,380581,36.89,Bihar,Karakat - 35,S0435
215,TARIQ ANWAR,Indian National Congress,565025,2067,567092,48.41,Bihar,Katihar - 11,S0411
216,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),537331,1326,538657,50.73,Bihar,Khagaria - 25,S0425
